01 makeOne     modelOne    colorOne
02 makeTwo     modelTwo    colorTwo
03 makeThree   modelThree  colorThree
04 makeFour    modelFour   colorFour
05 makeFive    modelFive   colorFive
06 makeSix     modelSix    colorSix
07 makeSeven   modelSeven  colorSeven
08 makeEight   modelEight  colorEight
09 makeNine    modelNine   colorNine
10 makeTen     modelTen    colorTen
11 make11      model11     color11
12 make12      model12     color12
13 make13      model13     color13
14 make14      model14     color14
15 make15      model15     color15
